Date,Time,Link,Title,Content
2018/08/13,16:30,http://www.aastocks.com/tc/stocks/news/aafn-content/NOW.889590/latest-news,"中冶(01618.HK)首七月新簽合同額3,557億人幣 按年升8.8%","中冶(01618.HK) 沽空 $70.04萬; 比率 20.964%   公布，7月份，重大工程(單筆5億元人民幣以上)新簽合同額165.9億元人民幣(下同)，佔去年收入6.8%。今年首七個月，新簽合同額3,556.9億元，較上年同期增長8.8%，其中，新簽海外合同額為86.6億元。"
2018/08/13,16:28,http://www.aastocks.com/tc/stocks/news/aafn-content/NOW.889588/latest-news,內銀6月底不良貸款率升至1.86%,"中國銀保監會公布，6月底商業銀行不良貸款率由3月底的1.75%，上升0.11個百分點至1.86%；不良貸款餘額約1.96萬億元人民幣(下同)，較3月底增加1,829億元。商業銀行撥備覆蓋率178.70%，較3月底的191.28%下降12.58個百分點；貸款撥備率3.33%，3月底為3.34%。6月底，商業銀行核心一級資本充足率10.65%，一級資本充足率11.20%，資本充足率13.57%。"
2018/08/13,16:25,http://www.aastocks.com/tc/stocks/news/aafn-content/NOW.889587/latest-news,ST長生(002680.SZ)控股股東及實控人張洺豪所持部分公司股份遭凍結,ST長生(002680.SZ)公布，公司控股股東及實控人張洺豪所持公司部分股份被司法凍結，涉720萬股，凍結佔其所持有股份比例4.14%。截至目前，控股股東、實際控制人高俊芳、張友奎、張洺豪共有1.9億股公司股份遭凍結，佔公司總股本19.51%。上述三人共持有3.57億股公司股份，佔總股本36.65%。
2018/08/13,16:24,http://www.aastocks.com/tc/stocks/news/aafn-content/NOW.889586/latest-news,日本央行前理事：無有力依據堅持2%通脹目標,《路透》報道，日本央行前理事門間一夫表示，日本央行應立即放棄負利率及控制長債收益率上限，因為這類緊急狀態措施對於已有穩健增長的經濟體並不必要。他認為，日本央行上月採取措施，使政策框架更具可持續性，但不足以解決其激進刺激計劃回報不斷下降及成本越來越高的問題。 門間一夫指出，日本央行已經取得公眾最希望看到的成果，延長日本經濟擴張持續及把失業率降至紀錄低點，並提升薪資水平，因此沒有有力依據支持日本央行堅持實現2%的通脹目標。他認為，除非不再堅持不惜一切代價實現通脹目標，否則日本央行可能數年都無法退出超寬鬆政策。
2018/08/13,16:23,http://www.aastocks.com/tc/stocks/news/aafn-content/NOW.889589/latest-news,《港股總結》恆指跌430點 藍籌新貴逆升 教育股急挫 ,"港股今隨外圍向下及跌穿二萬八關，美股道指上周五跌0.8%，市場憂土耳其「爆煲」蔓延至其他市場，拖累恆指今早低開409點或1.4%，午後最多挫逾540點曾低見27,823點。全日恆指下滑430點或1.5%，報27,936點。國指下滑176點或1.6%，報10,766點。大市成交額834.6億元。滬港通及深港通南下交易全日淨流入金額各為10.73億及3,310萬人民幣。藍籌股近乎全線下挫，騰訊(00700.HK) 沽空 $6.47億; 比率 22.564%   跌2.4%報361元；舜宇(02382.HK)  -5.300 (-4.193%)    沽空 $6.85千萬; 比率 16.273%   及瑞聲(02018.HK)  -2.550 (-2.687%)    沽空 $1.57千萬; 比率 9.660%   各下滑4.2%及2.7%。港鐵(00066.HK)  -0.550 (-1.373%)    沽空 $2.38千萬; 比率 8.681%   「股價失守40元，今再跌1.4%報39.5元。恆指公司上周五公布季檢結果，東亞銀行(00023.HK)  -1.750 (-5.785%)    沽空 $6.95千萬; 比率 44.823%   是三十四年來首度被踢出藍籌，股價今急跌5.8%，是跌幅最大藍籌；同遭剔出藍籌的招商局港口(00144.HK)  -0.660 (-4.024%)    沽空 $3.88千萬; 比率 38.585%   跌4%。中生製藥(01177.HK)  +0.420 (+4.054%)    沽空 $4.79千萬; 比率 9.339%   及申洲國際(02313.HK)  +1.900 (+2.006%)    沽空 $2.54千萬; 比率 5.567%   齊染藍，股價分別逆市升4.1%及2%。金融股受壓，友邦(01299.HK)  -1.100 (-1.588%)    沽空 $1.58億; 比率 36.483%   跌1.6%。工行(01398.HK)  -0.060 (-1.038%)    沽空 $2.65億; 比率 40.788%   及建行(00939.HK)  -0.090 (-1.282%)    沽空 $2.75億; 比率 26.757%   各跌1%及1.3%。中國平安(02318.HK)  -0.850 (-1.181%)    沽空 $3.25億; 比率 36.058%   、國壽(02628.HK)  -0.200 (-1.044%)    沽空 $1.01億; 比率 34.725%   分別跌1.2%及1%。華融(02799.HK)  -0.080 (-4.103%)    沽空 $1.83千萬; 比率 21.805%   走低4.1%。另外，長實集團(01113.HK)  -0.750 (-1.296%)    沽空 $3.69千萬; 比率 19.525%   夥長建(01038.HK)  -0.450 (-0.779%)    沽空 $9.04百萬; 比率 16.262%   及電能(00006.HK)  -0.750 (-1.340%)    沽空 $2.13千萬; 比率 37.272%   擬以信託收購澳洲APA，三股跌幅介乎0.8%-1.3%。中移動(00941.HK)  -1.400 (-1.949%)    沽空 $9.30千萬; 比率 19.606%   及匯控(00005.HK)  -0.500 (-0.689%)    沽空 $1.22億; 比率 21.905%   各跌1.9%及0.7%。上市教育股大成交急挫，內地擬加強監管民辦學校，楓葉教育(01317.HK)  -2.020 (-31.077%)    沽空 $1.05億; 比率 22.378%   股價瀉31.1%。新高教(02001.HK)  -2.260 (-32.471%)    沽空 $6.59百萬; 比率 3.053%   、宇華教育(06169.HK)  -1.960 (-36.567%)    沽空 $7.23千萬; 比率 19.806%   、天立教育(01773.HK)  -1.200 (-37.383%)   及睿見教育(06068.HK)  -2.720 (-39.766%)    沽空 $3.51千萬; 比率 19.404%   瀉32.5%-40%。希望教育(01765.HK)  -0.360 (-16.667%)   挫16.7%。利福中國(02136.HK)  +0.290 (+9.265%)    沽空 $8.99萬; 比率 0.777%   今日將公布業績，全日股價逆市造好升9.3%。新股千盛集團控股(08475.HK.HK)今早首掛，全日收報0.495元，較上市價0.72元，低出31.3%。"
2018/08/13,16:20,http://www.aastocks.com/tc/stocks/news/aafn-content/NOW.889585/latest-news,《歐洲經濟》意大利7月CPI終值確認年升略升溫至1.5%,意大利統計局公布，受新鮮食品及能源價格上漲推動，意大利7月消費物價指數(CPI)終值確認按年升幅續加快至1.5%(前值升1.3%)；按月也確認升幅再度略加快至0.3%。若扣除能源和新鮮食品之核心通脹年率終值確認略降溫至0.7%。意大利7月調和消費者物價指數(HICP)終值確認按月轉降1.4%(6月升0.2%)，主因是夏季服裝及鞋類開始促銷，而該部分並未包括在全國指數中；按年確認升1.9%。
2018/08/13,16:15,http://www.aastocks.com/tc/stocks/news/aafn-content/NOW.889581/latest-news,《全日速報》恆指跌430點 東亞跌逾5%,"恆指全日收27,937點，跌430點或1.5%。國指跌177點或1.6%，報10,767點。大市成交額834.60億元。活躍重磅股表現:騰訊 (00700.HK) 沽空 $6.47億; 比率 22.564%    收361元，下跌2.4%；友邦 (01299.HK)  -1.150 (-1.661%)    沽空 $1.58億; 比率 36.483%    收68.15元，下跌1.6%；建行 (00939.HK)  -0.080 (-1.140%)    沽空 $2.75億; 比率 26.757%    收6.93元，下跌1.3%；平安 (02318.HK)  -0.850 (-1.181%)    沽空 $3.25億; 比率 36.058%    收71.1元，下跌1.2%；港交所 (00388.HK)  -2.600 (-1.129%)    沽空 $3.10千萬; 比率 10.951%    收227.6元，下跌1.1%；工行 (01398.HK)  -0.060 (-1.038%)    沽空 $2.65億; 比率 40.788%    收5.72元，下跌1.0%；匯控 (00005.HK)  -0.500 (-0.689%)    沽空 $1.22億; 比率 21.905%    收72.1元，下跌0.7%；異動成份股:東亞 (00023.HK)  -1.750 (-5.785%)    沽空 $6.95千萬; 比率 44.823%    收28.5元，下跌5.8%；國航 (00753.HK)  -0.310 (-4.410%)    沽空 $6.13百萬; 比率 8.734%    收6.72元，下跌4.4%；舜宇 (02382.HK)  -5.400 (-4.272%)    沽空 $6.85千萬; 比率 16.273%    收121.1元，下跌4.2%；人保 (01339.HK)  -0.160 (-4.408%)    沽空 $6.73百萬; 比率 15.259%    收3.48元，下跌4.1%；中國華融 (02799.HK)  -0.080 (-4.103%)    沽空 $1.83千萬; 比率 21.805%    收1.87元，下跌4.1%；招商局港口 (00144.HK)  -0.660 (-4.024%)    沽空 $3.88千萬; 比率 38.585%    收15.74元，下跌4.0%；眾安 (06060.HK)  -1.400 (-3.753%)    沽空 $8.50百萬; 比率 30.481%    收35.9元，下跌3.8%；碧桂園 (02007.HK)  -0.440 (-3.710%)    沽空 $2.76千萬; 比率 8.865%    收11.42元，下跌3.7%；旺旺 (00151.HK)  -0.230 (-3.698%)    沽空 $1.21千萬; 比率 33.436%    收5.99元，下跌3.7%；中燃 (00384.HK)  -1.100 (-3.618%)    沽空 $1.96千萬; 比率 19.449%    收29.3元，下跌3.6%；廣發証券 (01776.HK)  -0.360 (-3.333%)    沽空 $4.44百萬; 比率 40.005%    收10.42元，下跌3.5%；財險 (02328.HK)  -0.330 (-3.310%)    沽空 $4.25千萬; 比率 19.958%    收9.64元，下跌3.3%；郵儲銀行 (01658.HK)  -0.170 (-3.288%)    沽空 $3.80百萬; 比率 12.467%    收5元，下跌3.3%；"
2018/08/13,16:12,http://www.aastocks.com/tc/stocks/news/aafn-content/NOW.889583/latest-news,《窩輪市場》認股證佔大市全日成交15.4%,港股全日成交834.6億元。認股證佔15.4%，達128.45億元。藍籌及國企成交288.18億元及244.2億元，分別佔34.5%及29.3%。
2018/08/13,16:12,http://www.aastocks.com/tc/stocks/news/aafn-content/NOW.889580/latest-news,"全日滬股通錄6,550萬人幣淨流出  南向淨流入10.73億人幣","全日滬股通交易額度剩餘520.65億元人民幣(下同)，淨流出6,550萬元。港股通交易額度剩餘409.27億元，即淨流入10.73億元。"
2018/08/13,16:12,http://www.aastocks.com/tc/stocks/news/aafn-content/NOW.889579/latest-news,"全日深股通錄3.87億人幣淨流出  南向淨流入3,310萬人幣","全日深股通交易額度剩餘523.87億元人民幣(下同)，即淨流出3.87億元。港股通交易額度剩餘419.67億元，淨流入3,310萬元。"
